mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text
1	1	0	0	0.0		0	0	StaffText	12/8	1	1	0						Allegro
1	1	0	0	0.5		0	0	Chord	12/8	1	1	1/8		1/8	1	0		
1	1	1/2	1/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8		1/8	1	1		
1	1	1	1	0.5		1/4	1/4	Chord	12/8	1	1	1/8		1/8	1	2		
1	1	3/2	3/2	0.5		3/8	3/8	Chord	12/8	1	1	1/8		1/8	1	3		
1	1	2	2	0.5		1/2	1/2	Chord	12/8	1	1	1/8		1/8	1	4		
1	1	5/2	5/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	5		
1	1	3	3	0.5		3/4	3/4	Chord	12/8	1	1	1/8		1/8	1	6		
1	1	7/2	7/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8		1/8	1	7		
1	1	4	4	0.5		1	1	Chord	12/8	1	1	1/8		1/8	1	8		
1	1	9/2	9/2	0.5		9/8	9/8	Chord	12/8	1	1	1/8		1/8	1	9		
1	1	5	5	0.5		5/4	5/4	Chord	12/8	1	1	1/8		1/8	1	10		
1	1	11/2	11/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	11		
2	2	6	6	0.5		0	0	Chord	12/8	1	1	1/8		1/8	1	12		
2	2	13/2	13/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8		1/8	1	13		
2	2	7	7	0.5		1/4	1/4	Chord	12/8	1	1	1/8		1/8	1	14		
2	2	15/2	15/2	0.5		3/8	3/8	Chord	12/8	1	1	1/8		1/8	1	15		
2	2	8	8	0.5		1/2	1/2	Chord	12/8	1	1	1/8		1/8	1	16		
2	2	17/2	17/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	17		
2	2	9	9	1.0		3/4	3/4	Chord	12/8	1	1	1/4		1/4	1	18		
2	2	10	10	0.5		1	1	Chord	12/8	1	1	1/8		1/8	1	19		
2	2	21/2	21/2	1.0		9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	20		
2	2	23/2	23/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	21		
3	3	12	12	1.5		0	0	Chord	12/8	1	1	3/8		1/4	3/2	22		
3	3	27/2	27/2	1.0		3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	23		
3	3	29/2	29/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	24		
