mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	2	1	d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/8	1/8	3/8	2	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	0	0	3/8	2	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	1/8	1/8	3/8	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	0	0	3/8	2	1	i}		d	i		i	i						}	m	1	1	0, -3, 1		0	0
5	5	0	0	3/8	2	1	V7{		d	i		V7	V		7				{	Mm7	1	1	1, 5, 2, -1		1	1
6	6	0	0	3/8	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	0	0	3/8	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	0	0	3/8	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
9	9	0	0	3/8	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	0	0	3/8	2	1	i}		d	i		i	i						}	m	1	1	0, -3, 1		0	0
11	11	0	0	3/8	2	1	III.V7{		d	III		V7	V		7				{	Mm7	1	0	1, 5, 2, -1		1	1
12	12	0	0	3/8	2	1	V(7)		d	III		V(7)	V			7				M	1	0	1, 5, 2	-1	1	1
12	12	1/16	1/16	3/8	2	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
17	17	0	0	3/8	2	1	V7		d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
21	21	0	0	3/8	2	1	I}{		d	III		I	I						}{	M	1	0	0, 4, 1		0	0
22	22	0	0	3/8	2	1	ii6		d	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
22	22	1/8	1/8	3/8	2	1	V(6)		d	III		V(6)	V			6				M	1	0	1, 5, 4		1	1
22	22	1/4	1/4	3/8	2	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
23	23	0	0	3/8	2	1	I		d	III		I	I							M	1	0	0, 4, 1		0	0
24	24	0	0	3/8	2	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
24	24	1/8	1/8	3/8	2	1	V7		d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
25	25	0	0	3/8	2	1	I		d	III		I	I							M	1	0	0, 4, 1		0	0
26	26	0	0	3/8	2	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
26	26	1/8	1/8	3/8	2	1	V7		d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
27	27	0	0	3/8	2	1	I		d	III		I	I							M	1	0	0, 4, 1		0	0
28	28	0	0	3/8	2	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
28	28	1/8	1/8	3/8	2	1	V7		d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
29	29	0	0	3/8	2	1	I		d	III		I	I							M	1	0	0, 4, 1		0	0
30	30	0	0	3/8	2	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
30	30	1/8	1/8	3/8	2	1	V7		d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
31	31	0	0	3/8	2	1	I}{		d	III		I	I						}{	M	1	0	0, 4, 1		0	0
33	33	0	0	3/8	2	1	viio6		d	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
33	33	1/8	1/8	3/8	2	1	I		d	III		I	I							M	1	0	0, 4, 1		0	0
34	34	0	0	3/8	2	1	ii6		d	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
34	34	1/8	1/8	3/8	2	1	V(6)		d	III		V(6)	V			6				M	1	0	1, 5, 4		1	1
34	34	1/4	1/4	3/8	2	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
35	35	0	0	3/8	2	1	I}{		d	III		I	I						}{	M	1	0	0, 4, 1		0	0
37	37	0	0	3/8	2	1	viio6		d	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
37	37	1/8	1/8	3/8	2	1	I		d	III		I	I							M	1	0	0, 4, 1		0	0
38	38	0	0	3/8	2	1	ii6		d	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
38	38	1/8	1/8	3/8	2	1	V(6)		d	III		V(6)	V			6				M	1	0	1, 5, 4		1	1
38	38	1/4	1/4	3/8	2	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
39	39	0	0	3/8	2	1	I|PAC}		d	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
44	44	0	0	3/8	2	1	I{		d	III		I	I						{	M	1	0	0, 4, 1		0	0
44	44	1/8	1/8	3/8	2	1	viio6		d	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
45	45	0	0	3/8	2	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
46	46	0	0	3/8	2	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
