mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	11/8	12/8	2	1		G.I{		G	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	0	0	12/8	2	1		IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	2	3/8	3/8	12/8	2	1		viio6		G	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
3	2	3/4	3/4	12/8	2	1		iii	I6	G	I		iii	iii							m	0	0	4, 1, 5		4	4
3	2	9/8	9/8	12/8	2	1		vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
4	3	0	0	12/8	2	1		ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
4	3	3/8	3/8	12/8	2	1		V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	3	3/4	3/4	12/8	2	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
4	3	9/8	9/8	12/8	2	1		I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	4	0	0	12/8	2	1		IV(4)		G	I		IV(4)	IV			4				M	0	0	-1, 5, 0		-1	-1
5	4	1/8	1/8	12/8	2	1		IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	4	1/4	1/4	12/8	2	1		I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	4	3/8	3/8	12/8	2	1		ii(4)		G	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
5	4	1/2	1/2	12/8	2	1		ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
5	4	5/8	5/8	12/8	2	1		I		G	I		I	I							M	0	0	0, 4, 1		0	0
5	4	3/4	3/4	12/8	2	1		V|HC}{		G	I		V	V					HC	}{	M	0	0	1, 5, 2		1	1
6	5	0	0	12/8	2	1		V(64)		G	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
6	5	3/4	3/4	12/8	2	1		V		G	I		V	V							M	0	0	1, 5, 2		1	1
7	6	0	0	12/8	2	1		V(64)}		G	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
7	6	3/4	3/4	12/8	2	1		V		G	I		V	V							M	0	0	1, 5, 2		1	1
7	6	9/8	9/8	12/8	2	1		{		G	I									{		0	0				
8	7	0	0	12/8	2	1		V.IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	3/8	3/8	12/8	2	1		viio6		G	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
8	7	3/4	3/4	12/8	2	1		iii	I6	G	V		iii	iii							m	0	0	4, 1, 5		4	4
8	7	9/8	9/8	12/8	2	1		vi6		G	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
9	8	0	0	12/8	2	1		ii		G	V		ii	ii							m	0	0	2, -1, 3		2	2
9	8	3/8	3/8	12/8	2	1		V6		G	V		V6	V		6					M	0	0	5, 2, 1		1	5
9	8	3/4	3/4	12/8	2	1		I		G	V		I	I							M	0	0	0, 4, 1		0	0
9	8	9/8	9/8	12/8	2	1		I6		G	V		I6	I		6					M	0	0	4, 1, 0		0	4
10	9	0	0	12/8	2	1		IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	9	3/8	3/8	12/8	2	1		vii%7/V	V65(9)/V	G	V		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
10	9	3/4	3/4	12/8	2	1		V|HC}		G	V		V	V					HC	}	M	0	0	1, 5, 2		1	1
10	9	9/8	9/8	12/8	2	1		{		G	V									{		0	0				
11	10	0	0	12/8	2	1		iv6/i		G	V		iv6/i	iv		6		i			m	0	0	-4, 0, -1		-1	-4
11	10	3/8	3/8	12/8	2	1		i6/i		G	V		i6/i	i		6		i			m	0	0	-3, 1, 0		0	-3
11	10	3/4	3/4	12/8	2	1		V6/i		G	V		V6/i	V		6		i			M	0	0	5, 2, 1		1	5
11	10	9/8	9/8	12/8	2	1		V/i		G	V		V/i	V				i			M	0	0	1, 5, 2		1	1
12	11	0	0	12/8	2	1		iv6/i		G	V		iv6/i	iv		6		i			m	0	0	-4, 0, -1		-1	-4
12	11	3/8	3/8	12/8	2	1		i6/i		G	V		i6/i	i		6		i			m	0	0	-3, 1, 0		0	-3
12	11	3/4	3/4	12/8	2	1		V6/i		G	V		V6/i	V		6		i			M	0	0	5, 2, 1		1	5
12	11	9/8	9/8	12/8	2	1		V/i		G	V		V/i	V				i			M	0	0	1, 5, 2		1	1
13	12	0	0	12/8	2	1		V7(9)/i		G	V		V7(9)/i	V		7	9	i			Mm7	0	0	1, 5, 2, -1	-4	1	1
13	12	3/8	3/8	12/8	2	1		i/i		G	V		i/i	i				i			m	0	0	0, -3, 1		0	0
13	12	3/4	3/4	12/8	2	1		V}{		G	V		V	V						}{	M	0	0	1, 5, 2		1	1
15	14	3/4	3/4	12/8	2	1		V6		G	V		V6	V		6					M	0	0	5, 2, 1		1	5
15	14	1	1	12/8	2	1		I		G	V		I	I							M	0	0	0, 4, 1		0	0
15	14	9/8	9/8	12/8	2	1		IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	14	11/8	11/8	12/8	2	1		V}		G	V		V	V						}	M	0	0	1, 5, 2		1	1
16	15	0	0	12/8	2	1		|EC{		G	V								EC	{		0	0				
18	17	0	0	12/8	2	1		V6		G	V		V6	V		6					M	0	0	5, 2, 1		1	5
18	17	1/4	1/4	12/8	2	1		I		G	V		I	I							M	0	0	0, 4, 1		0	0
18	17	3/8	3/8	12/8	2	1		IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	17	5/8	5/8	12/8	2	1		V		G	V		V	V							M	0	0	1, 5, 2		1	1
18	17	3/4	3/4	12/8	2	1		I|IAC}{		G	V		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
18	17	1	1	12/8	2	1		IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	17	9/8	9/8	12/8	2	1		V		G	V		V	V							M	0	0	1, 5, 2		1	1
19	18	0	0	12/8	2	1		I		G	V		I	I							M	0	0	0, 4, 1		0	0
19	18	1/4	1/4	12/8	2	1		IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	18	3/8	3/8	12/8	2	1		V		G	V		V	V							M	0	0	1, 5, 2		1	1
19	18	3/4	3/4	12/8	2	1		I		G	V		I	I							M	0	0	0, 4, 1		0	0
19	18	1	1	12/8	2	1		IV		G	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
