mn	mn_offset	label
0	0	A.@none
1	0	I
2	0	I
2	1/2	V7
2	7/8	V(64)
3	0	V7
3	3/8	V(64)
3	1/2	V7
3	7/8	I
4	0	V
5	0	V
6	0	V7/V
6	3/8	V(64)/V
6	1/2	V7/V
6	7/8	V(64)
7	0	V7/V
7	3/8	V
7	1/2	V/V
8	0	V
8	1/4	V(6)/V
8	3/8	V7/V
8	1/2	V
8	3/4	V(6)/V
8	7/8	V7/V
9	0	V
9	1/4	V(6)/V
9	3/8	V7/V
9	1/2	V7
10	0	a.i
10	1/4	V(6)
10	3/8	V7
10	1/2	i
10	3/4	V(6)
10	5/8	V7
11	0	i
11	1/4	V(6)
11	3/8	V7
11	1/2	i
11	3/4	V7/V
12	0	e.i
12	1/4	V(6)
12	3/8	V7
12	1/2	i
12	3/4	V(6)
12	7/8	V7
13	0	i
13	1/4	V(6)
13	3/8	V7
13	1/2	i
13	3/4	V7
14	0	iv
14	1/4	V(6)/iv
14	3/8	V7/iv
14	1/2	iv
14	3/4	V(6)/iv
14	7/8	V7/iv
15	0	iv
15	1/4	V(6)/iv
15	3/8	V7/iv
15	1/2	iv
15	3/4	V7
16	0	i
16	1/4	V(6)
16	3/8	V7
16	1/2	i
16	3/4	V(6)
16	7/8	V7
17	0	i
17	1/4	V(6)
17	3/8	V7
17	1/2	VI6
17	5/8	v6
17	3/4	iv6
17	7/8	III6
18	0	iio6
18	1/8	i6
18	1/4	VII6
18	3/8	VI6
18	1/2	v6
18	5/8	iv6
18	3/4	III6
18	7/8	iio6
19	0	i6
19	1/8	VII6
19	1/4	VI6
19	3/8	v6
19	1/2	iv6
19	5/8	iio6
19	3/4	V(64)
19	7/8	V
20	0	i
20	3/8	V
20	1/2	i
20	7/8	V
21	0	i
21	3/8	V
21	1/2	VI
21	5/8	iv
21	7/8	V
22	0	VI
22	1/8	iv
22	3/8	V
22	1/2	VI
22	5/8	iv
22	3/4	V(64)
22	7/8	V
23	0	VI
23	1/8	III
23	1/4	iv
23	3/8	i
23	1/2	ii%65-iio6
23	3/4	V(64)
23	7/8	V7
24	0	E.I
25	0	I
25	5/8	ii6
25	3/4	V(64)
25	7/8	V
26	0	I
27	0	A.V
28	0	V7
28	3/8	V(64)
28	1/2	V7
28	7/8	V(64)
29	0	V7
29	1/8	V(64)
29	1/4	V7
29	1/2	I
30	0	I
31	0	I
32	0	D.V7
32	3/8	V(64)
32	1/2	V7
32	7/8	V(64)
33	0	V7
33	1/8	V(64)
33	1/4	V7
33	1/2	I
34	0	A.IV
34	1/2	ii6
34	5/8	I6
34	3/4	viio6
34	7/8	vi6
35	0	V6
35	1/8	IV6
35	1/4	iii6
35	3/8	ii6
35	1/2	I6
35	5/8	viio6
35	3/4	vi6
35	7/8	V6
36	0	IV6
36	1/8	iii6
36	1/4	ii6
36	3/8	#viio/V
36	1/2	a.V7
36	7/8	V(64)
37	0	V7
37	3/8	V(64)
37	1/2	V7
37	3/4	V(64)
38	0	A.V
38	1/4	V(64)
38	3/8	V7
38	1/2	I
38	3/4	I(64)
38	7/8	I(7)
39	0	IV
39	1/4	@none
40	0	V
40	1/2	I
40	5/8	V
40	3/4	vi
40	7/8	iii
41	0	IV
41	1/8	I
41	1/4	i6
41	1/2	V
41	5/8	I
41	3/4	V(64)
41	7/8	V
42	0	ai
42	3/8	V
42	1/2	i
42	7/8	V
43	0	i
43	3/8	V
43	1/2	VI
43	5/8	iv
43	3/4	V
44	0	VI
44	1/8	iv
44	1/4	V(64)
44	3/8	v
44	1/2	VI
44	5/8	III
44	3/4	iv
44	7/8	i
45	0	A.V
45	1/4	V(64)
45	3/8	V
45	1/2	I
46	0	I
47	0	I
48	0	I
48	3/8	IV(64)
48	1/2	V(64)
48	3/4	V
49	0	I
