mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	2	1		E.I{	E	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	3/4	3/4	2/2	2	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
3	3	0	0	2/2	2	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	1/4	1/4	2/2	2	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
3	3	3/4	3/4	2/2	2	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	0	0	2/2	2	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
4	4	1/2	1/2	2/2	2	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
4	4	3/4	3/4	2/2	2	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
5	5	0	0	2/2	2	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	2/2	2	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
5	5	3/4	3/4	2/2	2	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
6	6	0	0	2/2	2	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
6	6	1/2	1/2	2/2	2	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
6	6	3/4	3/4	2/2	2	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
7	7	0	0	2/2	2	1		I|IAC}	E	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
8	8	3/4	3/4	2/2	2	1		V.IV{	E	V		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
9	9	0	0	2/2	2	1		I6(7)	E	V		I6(7)	I		6	7				M	0	0	4, 1, 5		0	4
9	9	1/4	1/4	2/2	2	1		I6	E	V		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	1/2	1/2	2/2	2	1		IV	E	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	0	0	2/2	2	1		I6(#11)	E	V		I6(#11)	I		6	#11				M	0	0	4, 1, 0	6	0	4
10	10	1/4	1/4	2/2	2	1		I6	E	V		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	1/2	1/2	2/2	2	1		IV(^9)	E	V		IV(^9)	IV			^9				M	0	0	-1, 3, 0	1	-1	-1
10	10	3/4	3/4	2/2	2	1		IV	E	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	0	0	2/2	2	1		I6(7)	E	V		I6(7)	I		6	7				M	0	0	4, 1, 5		0	4
11	11	1/4	1/4	2/2	2	1		I6	E	V		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	1/2	1/2	2/2	2	1		IV	E	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	0	0	2/2	2	1		I6(#11)	E	V		I6(#11)	I		6	#11				M	0	0	4, 1, 0	6	0	4
12	12	1/4	1/4	2/2	2	1		I6	E	V		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	1/2	1/2	2/2	2	1		IV(^9)	E	V		IV(^9)	IV			^9				M	0	0	-1, 3, 0	1	-1	-1
12	12	3/4	3/4	2/2	2	1		IV	E	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	0	0	2/2	2	1		I6	E	V		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	1/4	1/4	2/2	2	1		I	E	V		I	I							M	0	0	0, 4, 1		0	0
13	13	1/2	1/2	2/2	2	1		ii	E	V		ii	ii							m	0	0	2, -1, 3		2	2
13	13	3/4	3/4	2/2	2	1		V	E	V		V	V							M	0	0	1, 5, 2		1	1
14	14	0	0	2/2	2	1		I	E	V		I	I							M	0	0	0, 4, 1		0	0
