mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	label_type
1	1	0	0	2/4	2	1	G.I	1 (dcml)
1	1	1/4	1/4	2/4	2	1	viio6	1 (dcml)
2	2	0	0	2/4	2	1	I6	1 (dcml)
2	2	3/8	3/8	2/4	2	1	IV	1 (dcml)
3	3	0	0	2/4	2	1	I6	1 (dcml)
3	3	1/8	1/8	2/4	2	1	I	1 (dcml)
3	3	1/4	1/4	2/4	2	1	V43	1 (dcml)
3	3	3/8	3/8	2/4	2	1	V7	1 (dcml)
4	4	0	0	2/4	2	1	I	1 (dcml)
4	4	3/8	3/8	2/4	2	1	IV	1 (dcml)
5	5	0	0	2/4	2	1	I6	1 (dcml)
5	5	1/8	1/8	2/4	2	1	I	1 (dcml)
5	5	1/4	1/4	2/4	2	1	V43	1 (dcml)
5	5	3/8	3/8	2/4	2	1	V7	1 (dcml)
6	6	0	0	2/4	2	1	I	1 (dcml)
6	6	3/8	3/8	2/4	2	1	D.IV	1 (dcml)
7	7	0	0	2/4	2	1	I6	1 (dcml)
7	7	1/4	1/4	2/4	2	1	viio6(7)	1 (dcml)
7	7	3/8	3/8	2/4	2	1	viio(6)	1 (dcml)
8	8	0	0	2/4	2	1	I	1 (dcml)
8	8	3/8	3/8	2/4	2	1	IV6	1 (dcml)
9	9	0	0	2/4	2	1	I64-V(64)	1 (dcml)
9	9	1/4	1/4	2/4	2	1	viio64	1 (dcml)
10	10	0	0	2/4	2	1	I6	1 (dcml)
11	11	0	0	2/4	2	1	V65	1 (dcml)
11	11	1/4	1/4	2/4	2	1	I	1 (dcml)
12	12	0	0	2/4	2	1	V	1 (dcml)
12	12	3/8	3/8	2/4	2	1	I	1 (dcml)
13	13	0	0	2/4	2	1	V7	1 (dcml)
13	13	1/4	1/4	2/4	2	1	I	1 (dcml)
14	14	0	0	2/4	2	1	V	1 (dcml)
15	15	0	0	2/4	2	1	V7	1 (dcml)
15	15	1/4	1/4	2/4	2	1	V(65)	1 (dcml)
17	17	0	0	2/4	2	1	V7	1 (dcml)
17	17	1/4	1/4	2/4	2	1	V(64)	1 (dcml)
18	18	0	0	2/4	2	1	V7	1 (dcml)
18	18	1/4	1/4	2/4	2	1	I	1 (dcml)
19	19	0	0	2/4	2	1	I6	1 (dcml)
19	19	1/8	1/8	2/4	2	1	ii6	1 (dcml)
19	19	1/4	1/4	2/4	2	1	V(64)	1 (dcml)
19	19	3/8	3/8	2/4	2	1	V	1 (dcml)
20	20	0	0	2/4	2	1	I	1 (dcml)
21	21	0	0	2/4	2	1	viio6	1 (dcml)
22	22	0	0	2/4	2	1	I6	1 (dcml)
23	23	0	0	2/4	2	1	ii6	1 (dcml)
24	24	0	0	2/4	2	1	V	1 (dcml)
24	24	3/8	3/8	2/4	2	1	I6	1 (dcml)
25	25	0	0	2/4	2	1	iv	1 (dcml)
26	26	0	0	2/4	2	1	i6	1 (dcml)
27	27	0	0	2/4	2	1	viio6	1 (dcml)
28	28	0	0	2/4	2	1	i	1 (dcml)
29	29	0	0	2/4	2	1	bII6	1 (dcml)
29	29	3/8	3/8	2/4	2	1	iv	1 (dcml)
30	30	0	0	2/4	2	1	V7	1 (dcml)
30	30	1/4	1/4	2/4	2	1	I	1 (dcml)
30	30	3/8	3/8	2/4	2	1	ii65	1 (dcml)
31	31	0	0	2/4	2	1	V(64)	1 (dcml)
31	31	1/4	1/4	2/4	2	1	V	1 (dcml)
32	32	0	0	2/4	2	1	I	1 (dcml)
33	33	0	0	2/4	2	1	I	1 (dcml)
33	33	1/4	1/4	2/4	2	1	viio6	1 (dcml)
34	34	0	0	2/4	2	1	I6	1 (dcml)
34	34	3/8	3/8	2/4	2	1	IV	1 (dcml)
35	35	0	0	2/4	2	1	I6	1 (dcml)
35	35	1/8	1/8	2/4	2	1	I	1 (dcml)
35	35	1/4	1/4	2/4	2	1	V43	1 (dcml)
35	35	3/8	3/8	2/4	2	1	V7	1 (dcml)
36	36	0	0	2/4	2	1	I	1 (dcml)
36	36	3/8	3/8	2/4	2	1	IV	1 (dcml)
37	37	0	0	2/4	2	1	I6	1 (dcml)
37	37	1/8	1/8	2/4	2	1	I	1 (dcml)
37	37	1/4	1/4	2/4	2	1	V43	1 (dcml)
37	37	3/8	3/8	2/4	2	1	V7	1 (dcml)
38	38	0	0	2/4	2	1	I	1 (dcml)
39	39	0	0	2/4	2	1	a.V7(2)	1 (dcml)
39	39	1/8	1/8	2/4	2	1	V7	1 (dcml)
39	39	1/4	1/4	2/4	2	1	V(64)	1 (dcml)
39	39	3/8	3/8	2/4	2	1	V	1 (dcml)
40	40	0	0	2/4	2	1	i	1 (dcml)
40	40	3/8	3/8	2/4	2	1	iv	1 (dcml)
