mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	4/4	2	1	1/4	1/4	1.0		6	54	F#3	3	15
1	1	1/4	0.25	1/16	1/16	4/4	1	1	1/16	1/16	1.0		6	66	F#4	4	0
1	1	1/2	0.25	1/8	1/8	4/4	1	1	1/16	1/16	1.0		3	69	A4	4	1
1	1	3/4	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1.0		6	66	F#4	4	2
1	1	1	0.25	1/4	1/4	4/4	1	1	1/16	1/16	1.0		7	73	C#5	5	3
1	1	5/4	0.25	5/16	5/16	4/4	1	1	1/16	1/16	1.0		7	73	C#5	5	4
1	1	3/2	0.25	3/8	3/8	4/4	1	1	1/16	1/16	1.0		11	77	E#5	5	5
1	1	7/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1.0		7	73	C#5	5	6
1	1	2	0.25	1/2	1/2	4/4	1	1	1/16	1/16	1.0		6	78	F#5	5	7
1	1	9/4	0.25	9/16	9/16	4/4	1	1	1/16	1/16	1.0		6	66	F#4	4	8
1	1	5/2	0.25	5/8	5/8	4/4	1	1	1/16	1/16	1.0		3	69	A4	4	9
1	1	11/4	0.25	11/16	11/16	4/4	1	1	1/16	1/16	1.0		6	66	F#4	4	10
1	1	3	0.25	3/4	3/4	4/4	1	1	1/16	1/16	1.0		7	73	C#5	5	11
1	1	13/4	0.25	13/16	13/16	4/4	1	1	1/16	1/16	1.0		7	61	C#4	4	12
1	1	7/2	0.25	7/8	7/8	4/4	1	1	1/16	1/16	1.0		11	65	E#4	4	13
1	1	15/4	0.25	15/16	15/16	4/4	1	1	1/16	1/16	1.0		7	61	C#4	4	14
2	2	4	0.5	0	0	4/4	1	1	1/8	1/8	1.0		6	66	F#4	4	16
2	2	17/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1.0		6	54	F#3	3	24
2	2	9/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1.0		3	57	A3	3	25
2	2	9/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1.0		6	66	F#4	4	17
2	2	9/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1.0		3	69	A4	4	17
2	2	19/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1.0		6	54	F#3	3	26
2	2	5	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1.0		7	61	C#4	4	27
2	2	5	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1.0		8	68	G#4	4	18
