mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	c.i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.5	0.0
1	1	1/2	1/2	3/4	2	1	#viio6	c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2	0	3	0.0	0.0	0.75	0.0
2	2	0	0	3/4	2	1	i6(+6)	c	i		i6(+6)	i		6	+6				m	1	1	-3, 1, 0	-4	0	-3	0	5	0.0	0.0	1.5	0.0
2	2	1/2	1/2	3/4	2	1	#viio6	c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2	0	3	0.0	0.0	0.75	0.0
3	3	0	0	3/4	2	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.5	0.0
3	3	1/2	1/2	3/4	2	1	#viio6	c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2	0	3	0.0	0.0	0.75	0.0
4	4	0	0	3/4	2	1	i6(+6)	c	i		i6(+6)	i		6	+6				m	1	1	-3, 1, 0	-4	0	-3	0	4	0.0	0.0	0.75	0.0
4	4	1/4	1/4	3/4	2	1	V43	c	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2	0	4	0.0	0.0	0.75	0.0
4	4	1/2	1/2	3/4	2	1	VI6(+6)	c	i		VI6(+6)	VI		6	+6				M	1	1	0, -3, -4	-1	-4	0	0	4	0.0	0.0	0.75	0.0
5	5	0	0	3/4	2	1	V65	c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5	1	7	0.125	0.125	1.375	0.08333333333333333
5	5	1/2	1/2	3/4	2	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	0.75	0.0
6	6	0	0	3/4	2	1	#viio	c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5	1	7	0.125	0.125	1.375	0.08333333333333333
6	6	1/2	1/2	3/4	2	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	0.75	0.0
7	7	0	0	3/4	2	1	iio6	c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1	0	4	0.0	0.0	0.75	0.0
7	7	1/4	1/4	3/4	2	1	V(4)	c	i		V(4)	V			4				M	1	1	1, 0, 2		1	1	0	2	0.0	0.0	0.75	0.0
7	7	1/2	1/2	3/4	2	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
8	8	0	0	3/4	2	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0	1	2	0.3333333333333333	0.0	1.5	0.0
9	9	0	0	3/4	2	1	V/iv{	c	i		V/iv	V				iv		{	M	1	1	0, 4, 1		0	0	1	3	0.25	0.125	0.875	0.125
9	9	1/2	1/2	3/4	2	1	i6/iv	c	i		i6/iv	i		6		iv			m	1	1	-4, 0, -1		-1	-4	0	2	0.0	0.0	0.5	0.0
10	10	0	0	3/4	2	1	V65/iv	c	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4	0	4	0.0	0.0	1.0	0.0
10	10	1/4	1/4	3/4	2	1	V7/iv	c	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0	0	2	0.0	0.0	0.5	0.0
